,Advtype_Commonsense Knowledge,Advtype_Composing Seen Clues,Advtype_Crosslingual,Advtype_Domain Expert Knowledge,Advtype_Location Misalignment,Advtype_Logic & Calculation,Advtype_Multi-Step Reasoning,Advtype_Negation,Advtype_Novel Clues,Advtype_Temporal Misalignment,category_Art,category_Geography,category_History,category_Lifestyle,category_Literature,category_Miscellaneous,category_Music,category_Science,category_Sport,category_TV and Film
71,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
72,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
73,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
74,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
75,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
76,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
77,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
78,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
79,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
80,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
81,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
82,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
83,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
84,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
85,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
86,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
87,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
88,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
89,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
90,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
91,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
92,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
93,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
94,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
95,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
96,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
97,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
98,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
99,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
100,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
101,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
102,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
103,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
104,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
105,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
106,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
107,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
108,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
109,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
110,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
111,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
112,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
113,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
114,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
115,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
116,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
117,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
118,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
119,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
120,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
121,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
122,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
123,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
124,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
125,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
126,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
127,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
128,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
129,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
130,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
131,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
132,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
133,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
134,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
135,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
136,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
137,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
138,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
139,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
140,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
141,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
142,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
143,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
144,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
145,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
146,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
147,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
148,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
149,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
150,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
151,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
152,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
153,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
154,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
155,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
156,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
157,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
158,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
159,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
160,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
161,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
162,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
163,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
164,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
165,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
166,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
167,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
168,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
169,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
170,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
171,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
172,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
173,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
174,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
175,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
176,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
177,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
178,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
179,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
180,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
181,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
